1:coronavirus,disease,novel,19,covid
2:weather,19,temperature,covid,data
3:coronavirus,disease,novel,xxx,1591
4:die,der,und,wird,mit
5:19,covid,coronavirus,disease,2019
6:testing,rapid,test,coronavirus,time
7:test,serological,virus,antibody,using
8:disease,coronavirus,novel,reporting,19
9:disease,coronavirus,novel,canada,columbia
10:social,distancing,19,covid,measure
11:coronavirus,disease,covid,19,novel
12:quarantine,disease,coronavirus,infection,country
13:coronavirus,novel,disease,spread,2
14:super,spreader,spreading,outbreak,transmission
15:coronavirus,disease,novel,covid,19
16:coronavirus,disease,novel,covid,19
17:trial,clinical,covid,19,provide
18:mask,face,surgical,n95,respirator
19:alcohol,hand,based,day,0
20:ace,angiotensin,enzyme,inhibitor,converting
21:coronavirus,disease,novel,19,covid
22:heart,coronavirus,disease,impact,failure
23:hypertension,disease,coronavirus,19,patient
24:diabetes,disease,coronavirus,infection,2
25:disease,coronavirus,novel,biomarkers,cov
26:coronavirus,disease,novel,19,covid
27:asymptomatic,infection,case,19,covid
28:hydroxychloroquine,chloroquine,19,azithromycin,covid
29:drug,repurposing,disease,19,therapeutic
30:remdesivir,cov,sars,2,clinical
31:flu,pandemic,model,avian,swine
32:coronavirus,disease,novel,subtypes,cov
33:vaccine,candidate,protein,recombinant,disease
34:coronavirus,disease,novel,19,covid
35:coronavirus,disease,novel,19,covid
